apps/erpnext/erpnext/selling/doctype/customer/customer.py +91,A Customer Group exists with same name please change the Customer name or rename the Customer Group,BOM récursivité : {0} ne peut pas être le parent ou l'enfant de {2}
DocType: Newsletter,A Lead with this email id should exist,Un responsable de cet identifiant de courriel doit exister
apps/erpnext/erpnext/public/js/setup_wizard.js +266,A Product or Service,Un produit ou service
DocType: Item,"A Product or a Service that is bought, sold or kept in stock.","Un produit ou un service qui est acheté, vendu ou conservé en stock."
DocType: Shipping Rule Condition,A condition for a Shipping Rule,Une condition pour une règle d'expédition
DocType: Warehouse,A logical Warehouse against which stock entries are made.,Un Entrepôt logique dans lequel les entrées en stocks sont faites.
DocType: Sales Partner,A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,Un tiers distributeur / commerçant / commissionnaire / affilié / revendeur qui vend les produits de l'entreprise en échange d'une commission.
DocType: Expense Claim,"A user with ""Expense Approver"" role","Un utilisateur avec le rôle ""Autorise les dépenses"""
DocType: Serial No,AMC Expiry Date,AMC Date d'expiration
DocType: Company,Abbr,Abréviation
apps/erpnext/erpnext/setup/doctype/company/company.py +234,Abbr can not be blank or space,Abr ne peut être vide ou l'espace
DocType: Item Attribute Value,Abbreviation,Abréviation
apps/erpnext/erpnext/setup/doctype/company/company.py +44,Abbreviation already used for another company,
apps/erpnext/erpnext/setup/doctype/company/company.py +38,Abbreviation cannot have more than 5 characters,L'abbréviation ne peut pas avoir plus de 5 caractères
apps/erpnext/erpnext/setup/doctype/company/company.py +41,Abbreviation is mandatory,Abréviation est obligatoire
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.py +53,Above,Au dessus
DocType: Attendance,Absent,Absent
DocType: Quality Inspection Reading,Acceptance Criteria,Critères d'acceptation
DocType: Quality Inspection Reading,Accepted,Accepté
apps/erpnext/erpnext/stock/doctype/purchase_receipt/purchase_receipt.py +108,Accepted + Rejected Qty must be equal to Received quantity for Item {0},La quantité acceptée + rejetée doit être égale à la quantité reçue pour l'Item {0}
DocType: Purchase Receipt Item,Accepted Quantity,Quantité acceptés
DocType: Purchase Receipt Item,Accepted Warehouse,Entrepôt acceptable
DocType: Hub Settings,Access Token,Jeton d'accès
DocType: Account,Account,Compte
DocType: Journal Entry Account,Account Balance,Solde du compte
DocType: Bank Reconciliation,Account Currency,Compte
DocType: Purchase Taxes and Charges,Account Head,Compte
DocType: Account,Account Name,Nom du compte
DocType: Account,Account Type,Type de compte
apps/erpnext/erpnext/accounts/doctype/account/account.py +115,"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","Le solde du compte est déjà en crédit, vous n'êtes pas autorisé à mettre en 'Doit être en équilibre' comme 'débit'"
apps/erpnext/erpnext/accounts/doctype/account/account.py +113,"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","Le solde du compte est déjà en débit, vous n'êtes pas autorisé à définir 'Doit être en équilibre' comme 'Crédit'"
apps/erpnext/erpnext/accounts/doctype/mode_of_payment/mode_of_payment.py +28,Account does not match with Company,Compte ne correspond pas avec la Compagnie
DocType: Warehouse,Account for the warehouse (Perpetual Inventory) will be created under this Account.,Compte de l'entrepôt ( de l'inventaire permanent ) sera créé sous ce compte .
apps/erpnext/erpnext/stock/doctype/warehouse/warehouse.py +59,Account head {0} created,Responsable du compte {0} a été crée
apps/erpnext/erpnext/accounts/doctype/account/account.py +127,Account with child nodes cannot be converted to ledger,Un compte avec des enfants ne peut pas être converti en grand livre
apps/erpnext/erpnext/accounts/doctype/account/account.py +97,Account with child nodes cannot be set as ledger,
apps/erpnext/erpnext/accounts/doctype/account/account.py +137,Account with existing transaction can not be converted to group.,Un compte contenant une transaction ne peut pas être converti en groupe
apps/erpnext/erpnext/accounts/doctype/account/account.py +196,Account with existing transaction can not be deleted,Un compte contenant une transaction ne peut pas être supprimé
apps/erpnext/erpnext/accounts/doctype/account/account.py +92,Account with existing transaction cannot be converted to ledger,Un compte contenant une transaction ne peut pas être converti en grand livre
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +73,Account {0} cannot be a Group,Compte {0} ne peut pas être un groupe
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +79,Account {0} does not belong to Company {1},Compte {0} n'appartient pas à la société {1}
apps/erpnext/erpnext/setup/doctype/company/company.py +53,Account {0} does not belong to company: {1},Compte {0} n'appartient pas à la société : {1}
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center.py +39,Account {0} does not belongs to company {1},Le compte {0} n'appartient pas à la société {1}
apps/erpnext/erpnext/accounts/doctype/account/account.py +212,Account {0} does not exist,Compte {0} n'existe pas
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py +29,Account {0} does not exists,Le compte {0} ne existe pas
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center.py +45,Account {0} has been entered more than once for fiscal year {1},Le compte {0} a été renseigné plus d'une fois pour l'année fiscale {1}
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +190,Account {0} is frozen,Le compte {0} est gelé
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +76,Account {0} is inactive,Le compte {0} est inactif
apps/erpnext/erpnext/controllers/accounts_controller.py +249,Account {0} is invalid. Account Currency must be {1},Le compte {0} est invalide. La devise du compte doit être {1}
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py +318,Account {0} must be of type 'Fixed Asset' as Item {1} is an Asset Item,"Le compte {0} doit être de type 'Actif ', l'objet {1} étant un article Actif"
apps/erpnext/erpnext/accounts/doctype/account/account.py +48,Account {0}: Parent account {1} can not be a ledger,Compte {0}: Le Compte parent {1} ne peut pas être un grand livre
apps/erpnext/erpnext/accounts/doctype/account/account.py +50,Account {0}: Parent account {1} does not belong to company: {2},Compte {0}: le compte parent {1} n'appartient pas à l'entreprise: {2}
apps/erpnext/erpnext/accounts/doctype/account/account.py +44,Account {0}: Parent account {1} does not exist,Compte {0}: Le Compte parent {1} n'existe pas
apps/erpnext/erpnext/accounts/doctype/account/account.py +46,Account {0}: You can not assign itself as parent account,Compte {0}: Vous ne pouvez pas assigner un compte comme son propre parent
apps/erpnext/erpnext/accounts/general_ledger.py +106,Account: {0} can only be updated via Stock Transactions,Compte: {0} ne peut être mis à jour via les transactions boursières
apps/erpnext/erpnext/controllers/accounts_controller.py +527,Account: {0} with currency: {1} can not be selected,Compte: {0} avec la monnaie: {1} ne peut pas être sélectionné
apps/erpnext/erpnext/public/js/setup_wizard.js +180,Accountant,Comptable
DocType: Purchase Invoice Item,Accounting,Comptabilité
DocType: Sales Invoice,Accounting Details,Détails Comptabilité
DocType: Journal Entry,Accounting Entries,Écritures comptables
apps/erpnext/erpnext/accounts/page/accounts_browser/accounts_browser.js +27,Accounting Entries can be made against leaf nodes. Entries against Groups are not allowed.,Les écritures comptables ne peuvent être faites sur les nœuds feuilles. Les entrées dans les groupes ne sont pas autorisées.
apps/erpnext/erpnext/stock/doctype/purchase_receipt/purchase_receipt.py +316,Accounting Entry for Stock,Entrée comptable pour Stock
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +106,Accounting Entry for {0} can only be made in currency: {1},Entrée de comptabilité pour {0} ne peut être effectué qu'en monnaie: {1}
apps/erpnext/erpnext/accounts/party.py +215,Accounting Entry for {0}: {1} can only be made in currency: {2},Entrée comptabilité pour {0}: {1} ne peut être faite qu'en monnaie: {2}
apps/erpnext/erpnext/public/js/controllers/stock_controller.js +40,Accounting Ledger,Comptabilité Ledger
apps/erpnext/erpnext/config/accounts.py +89,Accounting Statements,
apps/erpnext/erpnext/accounts/party.py +232,Accounting entries have already been made in currency {0} for company {1}. Please select a receivable or payable account with currency {0}.,Les écritures comptables ont déjà été réalisés en monnaie {0} pour la société {1}. S'il vous plaît sélectionner un compte à recevoir ou à payer avec de la monnaie {0}.
DocType: Accounts Settings,"Accounting entry frozen up to this date, nobody can do / modify entry except role specified below.","Les entrées comptable sont gelées jusqu'à cette date, personne ne peut ajouter / modifier les entrées sauf le(s) rôle(s) spécifié ci-dessous."
apps/erpnext/erpnext/config/accounts.py +50,Accounting journal entries.,Les écritures comptables.
DocType: Account,Accounts,Comptes
,Accounts Browser,Navigateur des comptes
DocType: Accounts Settings,Accounts Frozen Upto,Comptes gelés jusqu'au
DocType: Account,Accounts Manager,Gestionnaire de comptes
DocType: Journal Entry,Accounts Payable,Comptes à payer
,Accounts Payable Summary,Le résumé des comptes à payer
DocType: Journal Entry,Accounts Receivable,Débiteurs
,Accounts Receivable Summary,Le résumé de comptes débiteurs
DocType: Accounts Settings,Accounts Settings,Paramètres des comptes
DocType: Account,Accounts User,Comptes utilisateur
apps/erpnext/erpnext/accounts/report/cash_flow/cash_flow.js +10,Accumulated Values,
apps/erpnext/erpnext/selling/report/sales_person_target_variance_item_group_wise/sales_person_target_variance_item_group_wise.py +51,Achieved,Atteint
apps/erpnext/erpnext/crm/doctype/newsletter_list/newsletter_list.js +22,Action,Action
DocType: Employee,Active,Actif
apps/erpnext/erpnext/selling/page/sales_funnel/sales_funnel.py +31,Active Leads / Customers,Dérivations actives / clients
DocType: Activity Cost,Activity Cost,Coût des Activités
apps/erpnext/erpnext/projects/doctype/activity_cost/activity_cost.py +29,Activity Cost exists for Employee {0} against Activity Type - {1},Des couts de personnel existe pour l'employé {0} dans le type d'activité - {1}
apps/erpnext/erpnext/projects/doctype/activity_type/activity_type.js +3,Activity Cost per Employee,Activité Coût par employé
DocType: Process Payroll,Activity Log,Journal d'activité
apps/erpnext/erpnext/hr/doctype/process_payroll/process_payroll.js +9,Activity Log:,Journal d'activité:
DocType: Activity Cost,Activity Type,Type d'activité
DocType: Purchase Taxes and Charges,Actual,Réel
DocType: Maintenance Schedule Detail,Actual Date,Date Réelle
DocType: Production Order,Actual End Date,Date de fin réelle
DocType: Task,Actual End Date (via Time Logs),Date réelle de fin (via Time Logs)
DocType: Production Order Operation,Actual End Time,Fin du temps réel
DocType: Production Order,Actual Operating Cost,Coût de fonctionnement réel
DocType: Production Order Operation,Actual Operation Time,Temps Opérationnel Réel
DocType: Quotation Item,Actual Qty,Quantité réelle
DocType: Stock Entry Detail,Actual Qty (at source/target),Quantité réelle (à la source / cible)
DocType: Stock Ledger Entry,Actual Qty After Transaction,Quantité réelle après transaction
apps/erpnext/erpnext/stock/doctype/stock_ledger_entry/stock_ledger_entry.py +59,Actual Qty is mandatory,Quantité réelle est obligatoire
DocType: Bin,Actual Quantity,Quantité réelle
DocType: Production Order,Actual Start Date,Date de début réelle
DocType: Task,Actual Start Date (via Time Logs),Date de début réelle (via Time Logs)
DocType: Production Order Operation,Actual Start Time,Heure de début réelle
DocType: Project,Actual Time (in Hours),Temps réel (en heures)
DocType: Task,Actual Time (in hours),
DocType: Production Order Operation,Actual Time and Cost,Temps réel et coût
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js +114,Actual type tax cannot be included in Item rate in row {0},Le type de taxe réel ne peut pas être inclus dans le prix de l'article à la ligne {0}
DocType: Purchase Taxes and Charges,Add,Ajouter
apps/erpnext/erpnext/stock/doctype/item/item.js +187,Add / Edit Prices,Ajouter / Modifier Prix
DocType: Purchase Receipt,Add / Edit Taxes and Charges,Ajouter / Modifier Taxes et Charges
apps/erpnext/erpnext/accounts/page/accounts_browser/accounts_browser.js +117,Add Child,Ajouter un enfant
DocType: Email Digest,Add Quote,Ajouter Citer
apps/erpnext/erpnext/public/js/utils.js +39,Add Serial No,Ajouter Numéro de série
apps/erpnext/erpnext/crm/doctype/newsletter_list/newsletter_list.js +24,Add Subscribers,Ajouter abonnés
apps/erpnext/erpnext/public/js/setup_wizard.js +190,Add Taxes,Ajouter impôts
apps/erpnext/erpnext/public/js/setup_wizard.js +161,Add Users,Ajouter des utilisateurs
apps/erpnext/erpnext/public/js/setup_wizard.js +287,Add a few sample records,Ajouter quelque exemple de dossier
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js +719,Add items from,
DocType: Purchase Taxes and Charges,Add or Deduct,Ajouter ou déduire
DocType: Cost Center,Add rows to set annual budgets on Accounts.,Ajoutez des lignes pour établir des budgets annuels sur des comptes.
apps/erpnext/erpnext/templates/generators/item.html +68,Add to Cart,Ajouter au panier
DocType: Lead,Add to calendar on this date,Ajouter cette date au calendrier
DocType: Leave Allocation,Add unused leaves from previous allocations,Ajouter les feuilles inutilisées d'attributions antérieures
apps/erpnext/erpnext/public/js/setup_wizard.js +162,"Add users to your organization, other than yourself","Ajouter des utilisateurs à votre organisation, autre que vous-même"
DocType: Email Digest,Add/Remove Recipients,Ajouter / supprimer des destinataires
apps/erpnext/erpnext/templates/includes/footer/footer_extension.html +29,Added,Ajouté
DocType: Time Log,Additional Cost,Supplément
DocType: Stock Entry,Additional Costs,Coûts additionels
DocType: Purchase Invoice,Additional Discount,Remise supplémentaire
DocType: Purchase Invoice,Additional Discount Amount,Montant de remise supplémentaire
DocType: Purchase Invoice,Additional Discount Amount (Company Currency),Montant de remise supplémentaire (devise Société)
DocType: Purchase Invoice,Additional Discount Percentage,Taux de remise supplémentaire
DocType: Production Order,Additional Operating Cost,Coût de fonctionnement supplémentaires
DocType: Customer,Additional information regarding the customer.,Informations supplémentaires concernant le client.
DocType: Purchase Invoice,Address,Adresse
DocType: Lead,Address & Contact,Adresse et coordonnées
DocType: Sales Partner,Address & Contacts,Adresse & Coordonnées
DocType: Lead,Address Desc,Adresse Desc
DocType: Supplier,Address HTML,Adresse HTML
DocType: Warehouse,Address Line 1,Adresse ligne 1
DocType: Warehouse,Address Line 2,Adresse ligne 2
DocType: Address Template,Address Template,Modèle d'adresse
DocType: Address,Address Title,Nom de l'adresse
apps/erpnext/erpnext/utilities/doctype/address/address.py +25,Address Title is mandatory.,Un nom d'adresse est obligatoire
DocType: Address,Address Type,Type d'adresse
DocType: Purchase Invoice,Address and Contact,Adresse et contact
DocType: Supplier,Address and Contacts,Adresse et contacts
apps/erpnext/erpnext/shopping_cart/utils.py +37,Addresses,Adresses
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py +84,Administrative Expenses,Dépenses administratives
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +88,Administrative Officer,Agent administratif
DocType: Payment Gateway,Administrator,Administrateur
DocType: Purchase Invoice Advance,Advance Amount,Montant de l'avance
DocType: Purchase Order,Advance Paid,Acompte payé
DocType: Purchase Invoice,Advance Payments,Paiements anticipés
DocType: Sales Invoice Advance,Advance amount,
apps/erpnext/erpnext/controllers/taxes_and_totals.py +408,Advance amount cannot be greater than {0} {1},
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +233,"Advance paid against {0} {1} cannot be greater \
						than Grand Total {2}",
DocType: Purchase Invoice,Advances,Avances
DocType: Sales Invoice,Advertisement,Publicité
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +6,Advertising,publicité
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +7,Aerospace,aérospatial
DocType: Features Setup,After Sale Installations,Installations Après Vente
DocType: Shopping Cart Settings,After payment completion redirect user to selected page.,
DocType: GL Entry,Against,Contre
DocType: Bank Reconciliation Detail,Against Account,Sur le compte
DocType: Quotation Item,Against Docname,Contre docName
DocType: Quotation Item,Against Doctype,Contre Doctype
DocType: Installation Note Item,Against Document Detail No,Sur le détail du document n°
DocType: Installation Note Item,Against Document No,Sur le document n °
DocType: Purchase Invoice,Against Expense Account,Sur le compte des dépenses
DocType: Sales Invoice,Against Income Account,Sur le compte des revenus
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +142,Against Journal Entry {0} does not have any unmatched {1} entry,Sur le Journal des entrées {0} n'a pas d'entrée {1} non associée
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +167,Against Journal Entry {0} is already adjusted against some other voucher,Sur le Journal des entrées {0} est déjà ajusté par un autre bon
DocType: Delivery Note Item,Against Sales Invoice,Sur la facture de vente
DocType: Delivery Note Item,Against Sales Invoice Item,Sur l'objet de la facture de vente
DocType: Delivery Note Item,Against Sales Order,Sur la commande
DocType: Delivery Note Item,Against Sales Order Item,Sur l'objet de la commande
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py +65,Against Supplier Invoice {0} dated {1},Sur le fournisseur de la facture {0} datée  {1}
DocType: GL Entry,Against Voucher,Sur le bon
DocType: Payment Tool Detail,Against Voucher No,Sur le bon n°
DocType: GL Entry,Against Voucher Type,Sur le type de bon
apps/erpnext/erpnext/accounts/doctype/payment_tool/payment_tool.js +183,"Against Voucher Type must be one of Purchase Order, Purchase Invoice or Journal Entry","Le type de bon doit être un de bon de commande, une facture d'achat ou une entrée du journal"
apps/erpnext/erpnext/accounts/doctype/payment_tool/payment_tool.js +176,"Against Voucher Type must be one of Sales Order, Sales Invoice or Journal Entry","le type de bon doit être un ordre de vente, une facture de vente ou une entrée du journal"
DocType: Payment Tool,Against Vouchers,Contre Chèques
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py +61,Age,Âge
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.py +41,Age (Days),Âge (jours)
apps/erpnext/erpnext/accounts/report/accounts_payable/accounts_payable.js +27,Ageing Based On,Basé sur le vieillissement
apps/erpnext/erpnext/accounts/report/accounts_payable/accounts_payable.js +37,Ageing Range 1,Gamme de vieillissement 1
apps/erpnext/erpnext/accounts/report/accounts_payable/accounts_payable.js +44,Ageing Range 2,Gamme de vieillissement 2
apps/erpnext/erpnext/accounts/report/accounts_payable/accounts_payable.js +51,Ageing Range 3,Gamme de vieillissement 3
DocType: Sales Partner,Agent,Agent
DocType: Product Bundle,"Aggregate group of **Items** into another **Item**. This is useful if you are bundling a certain **Items** into a package and you maintain stock of the packed **Items** and not the aggregate **Item**.

The package **Item** will have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes"".

For Example: If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Product Bundle Item.

Note: BOM = Bill of Materials",
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +8,Agriculture,agriculture
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +9,Airline,compagnie aérienne
DocType: C-Form,All,Tous
apps/erpnext/erpnext/config/buying.py +48,All Addresses.,Toutes les adresses.
DocType: SMS Center,All Contact,Tout contact
apps/erpnext/erpnext/config/buying.py +43,All Contacts.,Tous les contacts.
DocType: SMS Center,All Customer Contact,Tous les contacts clients
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +101,All Customer Groups,Tous les groupes client
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html +55,All Day,Toute la journée
DocType: SMS Center,All Employee (Active),Tous les employés (Actif)
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +17,All Item Groups,Tous les groupes d'article
apps/erpnext/erpnext/hr/doctype/job_opening/job_opening.py +20,All Jobs,
DocType: SMS Center,All Lead (Open),Toutes les pistes (Ouvertes)
apps/erpnext/erpnext/config/stock.py +67,All Products or Services.,Tous les produits ou services.
DocType: SMS Center,All Sales Partner Contact,Tous les contacts des partenaires commerciaux
DocType: SMS Center,All Sales Person,Tous les commerciaux
DocType: Sales Person,All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,Toutes les opérations de vente peuvent être assignées à plusieurs **Agent Commerciaux** de sorte que vous pouvez configurer et surveiller les cibles.
DocType: SMS Center,All Supplier Contact,Tous les contacts fournisseur
apps/erpnext/erpnext/buying/page/purchase_analytics/purchase_analytics.js +128,All Supplier Types,Tous les types de fournisseurs
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +98,All Territories,Tous les secteurs
DocType: Features Setup,"All export related fields like currency, conversion rate, export total, export grand total etc are available in Delivery Note, POS, Quotation, Sales Invoice, Sales Order etc.","Tous les champs liés à l'exportation comme monnaie , taux de conversion , l'exportation totale , l'exportation totale grandiose etc sont disponibles dans Bon de livraison , Point de Vente , Devis, Factures, Bons de commandes etc"
DocType: Features Setup,"All import related fields like currency, conversion rate, import total, import grand total etc are available in Purchase Receipt, Supplier Quotation, Purchase Invoice, Purchase Order etc.","Tous les champs importation connexes comme monnaie , taux de conversion , total d'importation , importation grande etc totale sont disponibles en Achat réception , Devis fournisseur , Facture d'achat , bon de commande , etc"
apps/erpnext/erpnext/stock/doctype/purchase_receipt/purchase_receipt.py +488,All items have already been invoiced,Tous les articles ont déjà été facturés
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py +681,All items have already been transferred for this Production Order.,Tous les éléments ont déjà été transférés pour cet ordre de production.
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.py +353,All these items have already been invoiced,Tous ces articles ont déjà été facturés
DocType: Leave Control Panel,Allocate,Allouer
apps/erpnext/erpnext/config/hr.py +75,Allocate leaves for a period.,Compte temporaire ( actif)
apps/erpnext/erpnext/config/hr.py +81,Allocate leaves for the year.,Allouer des congés pour l'année.
DocType: Purchase Invoice Advance,Allocated Amount,
DocType: Payment Reconciliation Payment,Allocated amount,Montant alloué
apps/erpnext/erpnext/accounts/utils.py +195,Allocated amount can not be negative,Le montant alloué ne peut être négatif
apps/erpnext/erpnext/accounts/utils.py +197,Allocated amount can not greater than unadusted amount,Le montant alloué ne peut pas être plus grand que le montant non-ajusté
apps/erpnext/erpnext/hr/doctype/leave_type/leave_type.js +3,Allocations,
DocType: Buying Settings,Allow Item to be added multiple times in a transaction,Autoriser l'ajout multiple d'un même article dans une pièce
DocType: Leave Type,Allow Negative Balance,Autoriser un solde négatif
DocType: Stock Settings,Allow Negative Stock,Autoriser un stock négatif
DocType: Manufacturing Settings,Allow Overtime,Autoriser heures supplémentaires
DocType: Item,Allow Production Order,Permettre les ordres de fabrication
DocType: Manufacturing Settings,Allow Production on Holidays,Autoriser la production pendant les vacances
DocType: Leave Block List Allow,Allow User,Permettre à l&#39;utilisateur
DocType: Leave Block List,Allow Users,Autoriser les utilisateurs
DocType: Item,"Allow in Sales Order of type ""Service""","Autorisé dans les commandes de type ""Service"""
DocType: Selling Settings,Allow multiple Sales Orders against a Customer's Purchase Order,Autoriser plusieurs commandes à partir d'un même bon de commande client
DocType: Item,Allow over delivery or receipt upto this percent,Autoriser une sur-livraison ou approvisionnement jusqu'à ce taux
DocType: Leave Block List,Allow the following users to approve Leave Applications for block days.,Autoriser les utilisateurs suivants d'approuver demandes d'autorisation pour les jours de bloc.
DocType: Selling Settings,Allow user to edit Price List Rate in transactions,Permettre à l'utilisateur de modifier le prix de vente dans les pièces
DocType: Stock Settings,Allowance Percent,Pourcentage allocation
