DocType: DocPerm,Apply this rule if the User is the Owner,Appliquer cette règle si l&#39;utilisateur est le propriétaire
apps/frappe/frappe/desk/page/activity/activity.js +197,Apr,Avril
apps/frappe/frappe/public/js/frappe/form/footer/attachments.js +83,Are you sure you want to delete the attachment?,Êtes-vous sûr de vouloir supprimer la pièce jointe?
DocType: Print Format,Arial,Arial
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +11,"As a best practice, do not assign the same set of permission rule to different Roles. Instead, set multiple Roles to the same User.","Comme une meilleure pratique , ne pas attribuer le même ensemble de règle d'autorisation pour différents rôles . Au lieu de cela , définir plusieurs rôles à un même utilisateur ."
apps/frappe/frappe/public/js/frappe/views/reports/reportview.js +468,Ascending,Croissant
apps/frappe/frappe/public/js/frappe/form/form_sidebar.html +19,Assign,Assigner
apps/frappe/frappe/public/js/frappe/list/doclistview.js +450,Assign To,Attribuer à
apps/frappe/frappe/custom/doctype/customize_form/customize_form.js +189,Assign a permission level to the field.,Attribuer un niveau d'autorisation sur le terrain.
apps/frappe/frappe/public/js/frappe/form/footer/assign_to.js +160,Assign to me,Attribuer à moi
DocType: Communication,Assigned,
DocType: ToDo,Assigned By,Attribué par
apps/frappe/frappe/desk/doctype/todo/todo_list.js +21,Assigned By Me,Assigné By Me
apps/frappe/frappe/public/js/frappe/model/model.js +26,Assigned To,assignée à
apps/frappe/frappe/public/js/frappe/list/list_sidebar.html +10,Assigned To Me,Attribué à moi
apps/frappe/frappe/core/report/todo/todo.py +21,Assigned To/Owner,Assigné à / Propriétaire
apps/frappe/frappe/desk/doctype/todo/todo.py +20,Assigned to {0}: {1},Assigné à {0}: {1}
apps/frappe/frappe/patches/v6_19/comment_feed_communication.py +131,Assignment,
apps/frappe/frappe/public/js/frappe/form/footer/assign_to.js +62,Assignment Complete,Cession complète
DocType: Communication,Assignment Completed,
apps/frappe/frappe/desk/doctype/todo/todo.py +28,Assignment closed by {0},Affectation fermé par {0}
DocType: Async Task,Async Task,Async Groupe
DocType: DocField,Attach,Joindre
apps/frappe/frappe/public/js/frappe/views/communication.js +75,Attach Document Print,Joindre Imprimer de document
apps/frappe/frappe/public/js/frappe/form/form_sidebar.html +26,Attach File,Joindre un fichier
DocType: DocField,Attach Image,Joindre l'image
DocType: Email Alert,Attach Print,Fixez Imprimer
apps/frappe/frappe/desk/page/setup_wizard/setup_wizard.js +441,Attach Your Picture,Joindre votre photo
DocType: File,Attached To DocType,Joint au document
DocType: File,Attached To Name,Joint au nom
DocType: Communication,Attachment,Pièce jointe
DocType: Email Account,Attachment Limit (MB),Taille maximale de la pièce jointe (MB)
DocType: Communication,Attachment Removed,
apps/frappe/frappe/public/js/frappe/form/form_sidebar.html +24,Attachments,Pièces jointes
apps/frappe/frappe/desk/page/activity/activity.js +198,Aug,Août
apps/frappe/frappe/email/doctype/email_account/email_account.py +125,Authentication failed while receiving emails from Email Account {0}. Message from server: {1},L&#39;authentification a échoué lors de la réception des emails de compte de messagerie {0}. Message du serveur: {1}
DocType: DocType,Auto Name,Nom Auto
DocType: Email Account,Auto Reply Message,Message automatique de réponse
DocType: Blogger,Avatar,Avatar
apps/frappe/frappe/templates/pages/login.html +74,Back to Login,Retour connexion
DocType: Website Theme,Background Color,Couleur de fond
apps/frappe/frappe/config/core.py +52,Background Email Queue,Contexte Email Queue
DocType: User,Background Image,Image de fond
DocType: User,Background Style,Style du fond
DocType: System Settings,Background Workers,
DocType: Website Settings,Banner,Bannière
DocType: Website Settings,Banner HTML,HTML Bannière
DocType: Website Settings,Banner Image,Image de la bannière
DocType: Website Settings,Banner is above the Top Menu Bar.,La Bannière est au-dessus de la barre de menu en haut.
DocType: Web Page,Begin this page with a slideshow of images,Commencez cette page avec un diaporama des images
apps/frappe/frappe/public/js/frappe/form/link_selector.js +24,Beginning with,commençant par
DocType: User,Bio,Bio
DocType: User,Birth Date,Date de naissance
DocType: Block Module,Block Module,Module Bloquer
DocType: User,Block Modules,Modules blocs
DocType: Desktop Icon,Blocked,
apps/frappe/frappe/website/doctype/blog_post/blog_post.py +83,Blog,Blog
DocType: Blog Category,Blog Category,Catégorie du blog
DocType: Blog Post,Blog Intro,Blog Intro
DocType: Blog Settings,Blog Introduction,Introduction du blog
DocType: Blog Post,Blog Post,Article de blog
DocType: Blog Settings,Blog Settings,Paramètres du blog
DocType: Blog Settings,Blog Title,Titre du blog
DocType: Blog Category,Blogger,Blogger
DocType: DocField,Bold,
apps/frappe/frappe/public/js/frappe/ui/editor.html +6,Bold (Ctrl/Cmd+B),Gras (Ctrl / Cmd + B)
apps/frappe/frappe/print/page/print_format_builder/print_format_builder.js +120,Both DocType and Name required,Les deux DocType et Nom nécessaire
apps/frappe/frappe/templates/includes/login/login.js +19,Both login and password required,Un login et un mot de passe sont requis
DocType: Communication,Bounced,Renvoyés
DocType: Website Settings,Brand HTML,Marque HTML
DocType: Web Form,Breadcrumbs,Chapelure
apps/frappe/frappe/public/js/frappe/ui/upload.html +4,Browse,Parcourir
apps/frappe/frappe/desk/page/activity/activity.js +73,Build Report,Créer un rapport
apps/frappe/frappe/public/js/frappe/form/grid.js +302,Bulk Edit {0},Modifier vrac {0}
DocType: Bulk Email,Bulk Email,Courriel groupé
DocType: Bulk Email,Bulk Email records.,Vrac dossiers de messagerie.
apps/frappe/frappe/config/setup.py +108,Bulk Rename,Renommer vrac
apps/frappe/frappe/public/js/frappe/ui/editor.html +8,Bullet list,liste de Bullet
DocType: DocField,Button,Bouton
apps/frappe/frappe/sessions.py +28,Cache Cleared,Cache Effacé
apps/frappe/frappe/public/js/frappe/ui/toolbar/awesome_bar.js +99,Calculate,Calculer
apps/frappe/frappe/public/js/frappe/ui/toolbar/notifications.js +87,Calendar,Calendrier
apps/frappe/frappe/public/js/frappe/form/set_sharing.html +5,Can Read,Peut Lire
apps/frappe/frappe/public/js/frappe/form/set_sharing.html +7,Can Share,Peuvent partager
apps/frappe/frappe/public/js/frappe/form/set_sharing.html +6,Can Write,Peut Ecrire
apps/frappe/frappe/client.py +63,Can not edit Read Only fields,Ne peut Editer les champs en Lecture Seule
DocType: DocPerm,Cancel,Annuler
DocType: Communication,Cancelled,Annulé
apps/frappe/frappe/public/js/frappe/form/save.js +15,Cancelling,Annulation
apps/frappe/frappe/core/doctype/user/user.py +385,Cannot Update: Incorrect / Expired Link.,Vous ne pouvez pas mettre à jour : Lien Mauvais ou périmée .
apps/frappe/frappe/workflow/doctype/workflow/workflow.py +70,Cannot cancel before submitting. See Transition {0},Vous ne pouvez pas annuler avant de soumettre .
apps/frappe/frappe/model/document.py +480,Cannot change docstatus from 0 to 2,Vous ne pouvez pas changer docstatus 0-2
apps/frappe/frappe/model/document.py +490,Cannot change docstatus from 1 to 0,Vous ne pouvez pas changer docstatus 1-0
apps/frappe/frappe/workflow/doctype/workflow/workflow.py +64,Cannot change state of Cancelled Document. Transition row {0},Vous ne pouvez pas changer l'état du document annulé .
apps/frappe/frappe/email/receive.py +61,Cannot connect: {0},Impossible de se connecter: {0}
apps/frappe/frappe/core/doctype/communication/communication.py +27,Cannot create a {0} against a child document: {1},
apps/frappe/frappe/core/doctype/file/file.py +150,Cannot delete Home and Attachments folders,Vous ne pouvez pas supprimer dossier d’accueil et de pièces jointes
apps/frappe/frappe/model/delete_doc.py +167,Cannot delete or cancel because {0} {1} is linked with {2} {3},Vous ne pouvez pas supprimer ou annuler parce que {0} {1} est lié à {2} {3}
apps/frappe/frappe/custom/doctype/customize_form/customize_form.js +97,Cannot delete standard field. You can hide it if you want,Vous ne pouvez pas supprimer champ standard. Vous pouvez cacher si vous voulez
apps/frappe/frappe/utils/nestedset.py +201,Cannot delete {0} as it has child nodes,Vous ne pouvez pas supprimer {0} car il possède des nœuds enfant
apps/frappe/frappe/model/document.py +493,Cannot edit cancelled document,Vous ne pouvez pas modifier document annulé
apps/frappe/frappe/public/js/frappe/views/reports/reportview.js +361,Cannot edit standard fields,Vous ne pouvez pas modifier les champs standards
apps/frappe/frappe/website/doctype/web_page/web_page.py +30,Cannot edit templated page,Vous ne pouvez pas modifier la page templated
apps/frappe/frappe/model/document.py +552,Cannot link cancelled document: {0},Vous ne pouvez pas relier document annulé: {0}
apps/frappe/frappe/model/mapper.py +81,Cannot map because following condition fails: ,Impossible de mapper parce condition suivante échoue:
apps/frappe/frappe/public/js/legacy/form.js +72,Cannot open instance when its {0} is open,Création / modification par
apps/frappe/frappe/public/js/legacy/form.js +66,Cannot open {0} when its instance is open,pas trouvé
apps/frappe/frappe/public/js/legacy/form.js +171,Cannot print cancelled documents,Impossible d'imprimer les documents annulés
apps/frappe/frappe/core/page/user_permissions/user_permissions.py +58,Cannot remove permission for DocType: {0} and Name: {1},Vous ne pouvez pas retirer l'autorisation de DocType : {0} et Nom : {1}
apps/frappe/frappe/email/bulk.py +152,Cannot send this email. You have crossed the sending limit of {0} emails for this month.,Vous ne pouvez pas envoyer cet courriel. Vous avez franchi la limite envoi de {0} courriels pour ce mois.
apps/frappe/frappe/email/doctype/email_alert/email_alert.py +31,Cannot set Email Alert on Document Type {0},Vous ne pouvez pas définir une alerte email sur Type de document {0}
apps/frappe/frappe/core/page/user_permissions/user_permissions.py +66,Cannot set permission for DocType: {0} and Name: {1},Vous ne pouvez pas définir des autorisations pour DocType : {0} et Nom : {1}
apps/frappe/frappe/config/website.py +43,Categorize blog posts.,Catégoriser les messages de blog.
apps/frappe/frappe/desk/page/applications/applications.js +42,Category,Catégorie
DocType: Blog Category,Category Name,Nom de la catégorie
apps/frappe/frappe/utils/data.py +412,Cent,Centime
DocType: Web Page,Center,Centre
apps/frappe/frappe/public/js/frappe/ui/editor.html +58,Center (Ctrl/Cmd+E),Center (Ctrl / Cmd + E)
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +16,"Certain documents, like an Invoice, should not be changed once final. The final state for such documents is called Submitted. You can restrict which roles can Submit.","Certains documents , comme une facture , ne devraient pas être modifiés une fois finale . L'état final de ces documents est appelée Soumis . Vous pouvez limiter les rôles pouvant Soumettre."
DocType: User,Change Password,Changer le mot de passe
apps/frappe/frappe/config/setup.py +216,"Change field properties (hide, readonly, permission etc.)","Modification des propriétés de champ (masquer , en lecture seule , permission etc )"
apps/frappe/frappe/custom/doctype/customize_form/customize_form.js +179,"Change type of field. (Currently, Type change is \
						allowed among 'Currency and Float')",
DocType: Communication,Chat,Chat
apps/frappe/frappe/config/desk.py +27,Chat messages and other notifications.,Discuter des messages et d&#39;autres notifications.
DocType: DocField,Check,Vérifier
DocType: User,Check / Uncheck roles assigned to the User. Click on the Role to find out what permissions that Role has.,Cochez / Décochez les rôles assignés à l'Utilisateur. Cliquez sur le rôle afin d'afficher les autorisations liées.
apps/frappe/frappe/print/page/print_format_builder/print_format_builder_column_selector.html +1,"Check columns to select, drag to set order.","Vérifiez colonnes pour sélectionner, glisser pour définir l'ordre."
DocType: Letter Head,Check this to make this the default letter head in all prints,"Cochez cette case pour faire de cette entête de lettre, celle par défaut dans toutes les imprimés"
DocType: Email Account,Check this to pull emails from your mailbox,Cochez cette case pour extraire des emails de votre boîte aux lettres
apps/frappe/frappe/config/setup.py +54,Check which Documents are readable by a User,Vérifier quels documents sont lisibles pour un utilisateur donné
apps/frappe/frappe/core/page/desktop/all_applications_dialog.html +8,Checked items will be shown on desktop,Les éléments sélectionnés seront affichés sur le bureau
DocType: DocType,Child Tables are shown as a Grid in other DocTypes.,Les tableaux enfants sont présentés comme une grille dans les autres documents.
DocType: Contact Us Settings,City,Ville
DocType: Print Settings,Classic,Classique
apps/frappe/frappe/core/doctype/user/user.js +173,Clear all roles,Effacer tous les rôles
apps/frappe/frappe/templates/emails/new_user.html +5,Click on the link below to complete your registration and set a new password,Cliquez sur le lien ci-dessous pour compléter votre inscription et fixer un nouveau mot de passe
DocType: Communication,Clicked,Cliqué
DocType: Custom Script,Client,Client
apps/frappe/frappe/config/core.py +37,Client side script extensions in Javascript,Extensions de script côté client en Javascript
apps/frappe/frappe/core/doctype/communication/communication.js +19,Close,Fermer
DocType: Communication,Closed,Fermé
DocType: DocField,Code,Code
apps/frappe/frappe/public/js/frappe/ui/tree.js +122,Collapse,Plier
DocType: DocField,Collapsible,Pliable
DocType: DocField,Collapsible Depends On,Pliable dépend
DocType: Desktop Icon,Color,
apps/frappe/frappe/print/page/print_format_builder/print_format_builder_column_selector.html +4,Column,Colonne
DocType: DocField,Column Break,Saut de colonne
apps/frappe/frappe/core/page/data_import_tool/exporter.py +227,Column Labels:,étiquettes de colonne:
apps/frappe/frappe/core/page/data_import_tool/data_import_tool.py +16,Column Name,Nom de la colonne
DocType: Communication,Comment,Commenter
DocType: Communication,Comment Type,Type de commentaire
apps/frappe/frappe/desk/page/activity/activity_row.html +20,Commented on {0}: {1},Commenté sur {0}: {1}
apps/frappe/frappe/public/js/frappe/model/model.js +25,Comments,Commentaires
DocType: DocType,Comments and Communications will be associated with this linked document,
apps/frappe/frappe/desk/page/activity/activity_row.html +22,Communicated via {0} on {1}: {2},
DocType: Communication,Communication,Communication
apps/frappe/frappe/public/js/frappe/views/communication.js +69,Communication Medium,Moyen de communication
DocType: Communication,Communication Type,
DocType: Company History,Company History,Historique de l&#39;entreprise
DocType: About Us Settings,Company Introduction,Présentation de l'entreprise
apps/frappe/frappe/templates/pages/complete_signup.html +22,Complete,Achevée
apps/frappe/frappe/public/js/frappe/form/footer/assign_to.js +167,Complete By,Compléter par
apps/frappe/frappe/templates/emails/new_user.html +6,Complete Registration,Terminer l'inscription
apps/frappe/frappe/desk/page/setup_wizard/setup_wizard_page.html +18,Complete Setup,installation terminée
apps/frappe/frappe/core/doctype/doctype/boilerplate/controller_list.html +31,Completed,Terminé
DocType: Email Alert,Condition,Conditions
apps/frappe/frappe/public/js/frappe/ui/modal.html +16,Confirm,Confirmer
DocType: Contact Us Settings,Contact Us Settings,Contactez-nous Réglages
DocType: Contact Us Settings,"Contact options, like ""Sales Query, Support Query"" etc each on a new line or separated by commas.","Options de contact, comme &quot;Requête ventes, du support requête&quot; etc chacun sur une nouvelle ligne ou séparées par des virgules."
DocType: Note,Content,Teneur
DocType: File,Content Hash,Hash contenu
DocType: Web Page,Content in markdown format that appears on the main side of your page,Contenu au format markdown qui apparaît sur le côté principal de votre page
apps/frappe/frappe/config/website.py +13,Content web page.,Contenu de page Web.
apps/frappe/frappe/templates/generators/web_form.html +273,Continue,Continuer
apps/frappe/frappe/core/doctype/file/file_list.js +104,Copy,Copiez
DocType: Website Settings,Copyright,Droit d&#39;auteur
DocType: Async Task,Core,Noyau
apps/frappe/frappe/email/smtp.py +155,Could not connect to outgoing email server,Impossible de se connecter à serveur de messagerie sortant
apps/frappe/frappe/model/document.py +547,Could not find {0},Impossible de trouver {0}
DocType: Country,Country,Pays
DocType: Country,Country Name,Nom Pays
DocType: DocPerm,Create,Créer
apps/frappe/frappe/print/page/print_format_builder/print_format_builder_start.html +16,Create a New Format,Créer un nouveau format
apps/frappe/frappe/public/js/frappe/form/control.js +1164,Create a new {0},Créer un nouveau {0}
DocType: Communication,Created,Créé
apps/frappe/frappe/public/js/frappe/model/model.js +18,Created By,Etabli par
apps/frappe/frappe/workflow/doctype/workflow/workflow.py +38,Created Custom Field {0} in {1},Crée un champ personnalisé {0} dans {1}
apps/frappe/frappe/public/js/frappe/model/model.js +20,Created On,Créé le
apps/frappe/frappe/public/js/frappe/form/grid_form.html +22,Ctrl + Down,Ctrl + Bas
apps/frappe/frappe/public/js/frappe/form/grid_form.html +22,Ctrl + Up,Ctrl +
DocType: DocField,Currency,Devise
DocType: Currency,Currency Name,Nom de la devise
